"palabra","media_agrado","media_activacion","media_imaginabilidad","sd_agrado","sd_activacion","sd_imaginabilidad","tipo"
"mejor",2.8,2.4,2.2,0.4472,0.5477,0.8367,"adjetivo"
"preguntar",2.2,3,2.4,0.8367,0,0.8944,"verbo"
"saber",2.8,3,2,0.4472,0,1,"verbo"
"formar",2.4,3,2,0.5477,0,0.7071,"verbo"
"único",2.4,2.2,2.6,0.5477,0.8367,0.8944,"adjetivo"
"vez",2,2,1.8,0,0.7071,0.8367,"sustantivo"
"camino",2.6,2.4,2.6,0.5477,0.8944,0.8944,"sustantivo"
"recuerdo",2.2,1.8,3,0.8367,1.0954,0,"sustantivo"
"mujer",2.6,2.6,3,0.5477,0.5477,0,"sustantivo"
"conocer",2.8,2.8,2.4,0.4472,0.4472,0.8944,"verbo"
"parecer",2.4,2.2,2.4,0.5477,0.4472,0.5477,"verbo"
"olvidar",2,2.6,2.4,0.7071,0.5477,0.8944,"verbo"
"metro",2.1667,2,3,0.4082,0.8944,0,"sustantivo"
"importante",2.3333,2.3333,2.3333,0.8165,0.8165,0.8165,"adjetivo"
"universidad",2.7143,2.8571,3,0.488,0.378,0,"sustantivo"
"siglo",2,1.2,2.6,0,0.4472,0.5477,"sustantivo"
"color",2.4,2,3,0.5477,0.7071,0,"sustantivo"
"pasar",2,2.4,2.6,0,0.8944,0.5477,"verbo"
"correr",2.8,3,3,0.4472,0,0,"verbo"
"mano",2.2,2,3,0.4472,0,0,"sustantivo"
"contar",2.4,3,2.8,0.5477,0,0.4472,"verbo"
"deber",1.6,2,2.8,0.5477,1,0.4472,"verbo"
"salir",2.6,3,3,0.5477,0,0,"verbo"
"vivir",2.8,3,3,0.4472,0,0,"verbo"
"estado",1.8,1.8,1.8,0.4472,0.8367,1.0954,"sustantivo"
"ver",2.4,2.6,2.8,0.5477,0.8944,0.4472,"verbo"
"pequeño",2.2,1.6,3,0.4472,0.5477,0,"adjetivo"
"padre",3,2.6,3,0,0.5477,0,"sustantivo"
"gobierno",2,2.6667,2.8333,0.6325,0.5164,0.4082,"sustantivo"
"condado",2,1.2,2.2,0,0.4472,1.0954,"sustantivo"
"utilizar",2.1667,2.6667,2.3333,0.4082,0.5164,0.8165,"verbo"
"madre",3,2.8,3,0,0.4472,0,"sustantivo"
"sentir",2.6,2.6,2.4,0.5477,0.8944,0.8944,"verbo"
"tanto",2,2.2,1.8,0,0.8367,1.0954,"adverbio"
"cambiar",2.3333,2.6667,2.1667,0.5164,0.5164,0.7528,"verbo"
"final",2.4,2.2,2.6,0.5477,0.8367,0.8944,"sustantivo"
"escribir",2.2,2.8,3,0.4472,0.4472,0,"verbo"
"día",2.4,2.2,3,0.5477,0.8367,0,"sustantivo"
"sueño",2.4,2.2,2.4,0.5477,0.8367,0.8944,"sustantivo"
"usar",2,2.8,2.2,0,0.4472,0.8367,"verbo"
"empezar",2.4,3,2,0.5477,0,1,"verbo"
"tomar",2,2.6,2.8,0,0.5477,0.4472,"verbo"
"pesar",1.6,2.2,2.4,0.5477,0.8367,0.5477,"verbo"
"equipo",2.8,2.4,2.8,0.4472,0.8944,0.4472,"sustantivo"
"ciudad",2.4,2.4,3,0.5477,0.8944,0,"sustantivo"
"juego",3,3,2.8,0,0,0.4472,"sustantivo"
"provincia",2.6,2,2.8,0.5477,0.7071,0.4472,"sustantivo"
"gran",2.4,2.2,2.6,0.5477,0.8367,0.5477,"adjetivo"
"general",2.2,1.8,1.4,0.4472,0.4472,0.8944,"adjetivo"
"morir",1.4,2.4,2.6,0.8944,0.8944,0.8944,"verbo"
"nacer",2.8,3,2.8,0.4472,0,0.4472,"verbo"
"niño",2.6,2.8,3,0.8944,0.4472,0,"sustantivo"
"mayor",2.3333,2.1667,3,0.5164,0.7528,0,"adjetivo"
"recibir",2.6667,2.1667,2.6667,0.5164,0.7528,0.5164,"verbo"
"serie",2.3333,2.1667,2,0.5164,0.7528,0.8944,"sustantivo"
"silencio",2.6667,1.8333,3,0.5164,0.9832,0,"sustantivo"
"realidad",2.3333,2.3333,2.6667,0.5164,0.8165,0.8165,"sustantivo"
"real",2.3333,2.3333,2.5,0.5164,0.8165,0.5477,"adjetivo"
"proyecto",2.5,2.1667,2.6667,0.5477,0.9832,0.5164,"sustantivo"
"estudio",2.5,2.5,2.5,0.5477,0.8367,0.5477,"sustantivo"
"tocar",2.3333,2.8333,2.8333,0.5164,0.4082,0.4082,"verbo"
"conseguir",2.3333,2.5,2.6667,0.5164,0.8367,0.8165,"verbo"
"película",2,2.1429,2.5714,1,0.6901,0.5345,"sustantivo"
"mes",2.2,2,2.2,0.4472,0.7071,0.8367,"sustantivo"
"sol",2.4,2.6,3,0.8944,0.5477,0,"sustantivo"
"diferente",2.6,2.4,2,0.5477,0.5477,0.7071,"adjetivo"
"ganar",2.6,2.8,2.4,0.5477,0.4472,0.8944,"verbo"
"isla",2.8,2,2.8,0.4472,0.7071,0.4472,"sustantivo"
"censo",2,2.6,2.2,0,0.5477,0.8367,"sustantivo"
"intentar",2.8,2.6,2.4,0.4472,0.5477,0.5477,"verbo"
"mostrar",2.6,2.6,2.8,0.5477,0.5477,0.4472,"verbo"
"viejo",2.2,2.2,2.4,0.4472,0.8367,0.5477,"adjetivo"
"humano",2.8,2.8,2.8,0.4472,0.4472,0.4472,"adjetivo"
"caminar",2.8,3,3,0.4472,0,0,"verbo"
"pie",2,2.4,2.8,0,0.5477,0.4472,"sustantivo"
"orden",2.1667,2.3333,2.5,0.7528,0.8165,0.8367,"sustantivo"
"gustar",2.8333,2.8333,2.3333,0.4082,0.4082,0.8165,"verbo"
"llorar",1.1667,2.8333,2.8333,0.4082,0.4082,0.4082,"verbo"
"levantar",1.8,2.6,2.4,0.4472,0.8944,0.5477,"verbo"
"cara",2.4,1.8,2.2,0.5477,0.4472,0.8367,"sustantivo"
"rostro",2.2,2,2.2,0.4472,0.7071,0.8367,"sustantivo"
"señor",1.8,2.2,2.4,0.4472,0.8367,0.5477,"sustantivo"
"música",3,2.6,2.2,0,0.8944,1.0954,"sustantivo"
"raza",1.8,2.4,3,0.4472,0.5477,0,"sustantivo"
"idea",2.8,3,2.4,0.4472,0,0.8944,"sustantivo"
"viento",2.6,2.6,2.6,0.5477,0.8944,0.8944,"sustantivo"
"iglesia",1.4,2,3,0.5477,1,0,"sustantivo"
"través",2,2,1,0,0,0,"sustantivo"
"problema",1.2,2.4,2.4,0.4472,0.8944,0.8944,"sustantivo"
"álbum",2.2,2.2,2.6,0.4472,0.8367,0.8944,"sustantivo"
"desear",2.6,2.8,2.2,0.5477,0.4472,0.8367,"verbo"
"boca",2.4,2.4,3,0.5477,0.5477,0,"sustantivo"
"mente",2.6,2.4,2,0.5477,0.5477,1,"sustantivo"
"imagen",2.4,2,2.6,0.5477,0,0.8944,"sustantivo"
