"","palabra","media_agrado","media_activacion","media_imaginabilidad","sd_agrado","sd_activacion","sd_imaginabilidad"
"179","sentir",2.6,2.6,2.4,0.5477,0.8944,0.8944
"180","tanto",2,2.2,1.8,0,0.8367,1.0954
"181","cambiar",2.3333,2.6667,2.1667,0.5164,0.5164,0.7528
"182","final",2.4,2.2,2.6,0.5477,0.8367,0.8944
"183","escribir",2.2,2.8,3,0.4472,0.4472,0
"184","día",2.4,2.2,3,0.5477,0.8367,0
"185","sueño",2.4,2.2,2.4,0.5477,0.8367,0.8944
"186","usar",2,2.8,2.2,0,0.4472,0.8367
"187","empezar",2.4,3,2,0.5477,0,1
"188","tomar",2,2.6,2.8,0,0.5477,0.4472
"189","pesar",1.6,2.2,2.4,0.5477,0.8367,0.5477
"190","equipo",2.8,2.4,2.8,0.4472,0.8944,0.4472
"191","ciudad",2.4,2.4,3,0.5477,0.8944,0
"192","juego",3,3,2.8,0,0,0.4472
"193","provincia",2.6,2,2.8,0.5477,0.7071,0.4472
"194","gran",2.4,2.2,2.6,0.5477,0.8367,0.5477
"195","general",2.2,1.8,1.4,0.4472,0.4472,0.8944
"196","morir",1.4,2.4,2.6,0.8944,0.8944,0.8944
"197","nacer",2.8,3,2.8,0.4472,0,0.4472
"198","niño",2.6,2.8,3,0.8944,0.4472,0
"199","mayor",2.3333,2.1667,3,0.5164,0.7528,0
"200","recibir",2.6667,2.1667,2.6667,0.5164,0.7528,0.5164
"201","serie",2.3333,2.1667,2,0.5164,0.7528,0.8944
"202","silencio",2.6667,1.8333,3,0.5164,0.9832,0
"203","realidad",2.3333,2.3333,2.6667,0.5164,0.8165,0.8165
"204","real",2.3333,2.3333,2.5,0.5164,0.8165,0.5477
"205","proyecto",2.5,2.1667,2.6667,0.5477,0.9832,0.5164
"206","estudio",2.5,2.5,2.5,0.5477,0.8367,0.5477
"207","tocar",2.3333,2.8333,2.8333,0.5164,0.4082,0.4082
"208","conseguir",2.3333,2.5,2.6667,0.5164,0.8367,0.8165
"209","película",2,2.1429,2.5714,1,0.6901,0.5345
"210","mes",2.2,2,2.2,0.4472,0.7071,0.8367
"211","sol",2.4,2.6,3,0.8944,0.5477,0
"212","diferente",2.6,2.4,2,0.5477,0.5477,0.7071
"213","ganar",2.6,2.8,2.4,0.5477,0.4472,0.8944
"214","isla",2.8,2,2.8,0.4472,0.7071,0.4472
"215","censo",2,2.6,2.2,0,0.5477,0.8367
"216","intentar",2.8,2.6,2.4,0.4472,0.5477,0.5477
"217","mostrar",2.6,2.6,2.8,0.5477,0.5477,0.4472
"218","viejo",2.2,2.2,2.4,0.4472,0.8367,0.5477
"219","humano",2.8,2.8,2.8,0.4472,0.4472,0.4472
"220","caminar",2.8,3,3,0.4472,0,0
"221","pie",2,2.4,2.8,0,0.5477,0.4472
"222","orden",2.1667,2.3333,2.5,0.7528,0.8165,0.8367
"223","gustar",2.8333,2.8333,2.3333,0.4082,0.4082,0.8165
"224","llorar",1.1667,2.8333,2.8333,0.4082,0.4082,0.4082
"225","levantar",1.8,2.6,2.4,0.4472,0.8944,0.5477
"226","cara",2.4,1.8,2.2,0.5477,0.4472,0.8367
"227","rostro",2.2,2,2.2,0.4472,0.7071,0.8367
"228","señor",1.8,2.2,2.4,0.4472,0.8367,0.5477
"229","música",3,2.6,2.2,0,0.8944,1.0954
"230","raza",1.8,2.4,3,0.4472,0.5477,0
"231","idea",2.8,3,2.4,0.4472,0,0.8944
"232","viento",2.6,2.6,2.6,0.5477,0.8944,0.8944
"233","iglesia",1.4,2,3,0.5477,1,0
"234","través",2,2,1,0,0,0
"235","problema",1.2,2.4,2.4,0.4472,0.8944,0.8944
"236","álbum",2.2,2.2,2.6,0.4472,0.8367,0.8944
"237","desear",2.6,2.8,2.2,0.5477,0.4472,0.8367
"238","boca",2.4,2.4,3,0.5477,0.5477,0
"239","mente",2.6,2.4,2,0.5477,0.5477,1
"240","imagen",2.4,2,2.6,0.5477,0,0.8944
"241","miedo",1,2.8,2.6,0,0.4472,0.8944
"242","época",2,2,2,0,0,1
"243","acabar",2.2,2.6,2.2,0.4472,0.5477,1.0954
"244","piel",2.6,2,3,0.5477,0,0
"245","carrera",2.2,2.8,3,0.4472,0.4472,0
"246","construir",2.8,3,3,0.4472,0,0
"247","obtener",2.4,3,1.8,0.5477,0,0.8367
"248","brazo",2.2,1.8,3,0.4472,0.4472,0
"249","fuerte",2.6,2.8,2.2,0.5477,0.4472,1.0954
"250","demografía",2,1.8333,1.5,0,0.4082,0.5477
"251","club",2.6667,2.5,2.6667,0.5164,0.5477,0.8165
"252","publicar",2.1667,3,2.3333,0.4082,0,0.8165
"253","resto",2.1667,2,1.8333,0.4082,0,0.9832
"254","observar",2.3333,2.6667,2.6667,0.5164,0.8165,0.8165
"255","situar",2,2,2,0,0.8944,0.8944
"256","temporada",2.3333,2.1667,1.6667,0.5164,0.4082,0.8165
"257","lanzar",2.3333,3,2.8333,0.5164,0,0.4082
"258","cerrar",1.6667,3,3,0.5164,0,0
"259","servicio",2.6,2.4,1.6,0.5477,0.8944,0.8944
"260","beso",3,3,3,0,0,0
"261","presidente",1.8,2.8,3,0.4472,0.4472,0
"262","sentido",2.4,2.4,1.6,0.5477,0.5477,0.8944
"263","sonrisa",3,3,3,0,0,0
"264","necesitar",2.4,3,2,0.5477,0,0.7071
"265","razón",2.6,2.6,1.8,0.5477,0.5477,1.0954
"266","miembro",2.4,2.6,2.8,0.5477,0.5477,0.4472
"267","movimiento",2.6,2.6,2.8,0.5477,0.8944,0.4472
"268","regresar",2.4,3,2.8,0.8944,0,0.4472
"269","relación",3,3,2.4,0,0,0.8944
"270","frente",2,2,2.2,0,0,0.8367
"271","escuela",2.8,3,3,0.4472,0,0
"272","papel",2.4,2.4,2.8,0.5477,0.5477,0.4472
"273","línea",2.2,2,3,0.4472,0.7071,0
"274","destacar",2.6,2.8,2.2,0.5477,0.4472,0.8367
"275","ejemplo",2.2,2.6,2,0.4472,0.5477,0.7071
"276","descubrir",3,3,2.4,0,0,0.8944
"277","servir",2,2.8,2.4,0.7071,0.4472,0.8944
"278","arte",3,2.8,2.6,0,0.4472,0.8944
"279","sangre",2,2,3,0.7071,0.7071,0
"280","estrella",3,2.6,3,0,0.5477,0
"281","edad",2,2,2,0.7071,0.7071,0.7071
"282","derecho",2.2,2.6,2,0.4472,0.5477,0.7071
"283","labio",2.4,2.4,3,0.5477,0.5477,0
"284","dios",2,2,1.6,0.7071,0.7071,0.8944
"285","pertenecer",2.4,2.4,1.6,0.5477,0.8944,0.5477
"286","continuar",2.6,2.8,1.8,0.5477,0.4472,0.8367
"287","matar",1,2.4,2.6,0,0.8944,0.5477
"288","participar",2.8,3,2.4,0.4472,0,0.5477
"289","posible",2.8,2.2,2.4,0.4472,0.4472,0.8944
"290","pueblo",2.6,1.8,2.6,0.5477,0.8367,0.5477
"291","medio",2,2,2.6,0,0,0.8944
"292","despertar",2.8,2.8,3,0.4472,0.4472,0
"293","espacio",2.4,1.4,2,0.5477,0.5477,0.7071
"294","distrito",2,2,2,0,0,0.7071
"295","minuto",1.8,2.2,2,0.4472,0.4472,0
"296","cantar",2.8,3,2.8,0.4472,0,0.4472
"297","igual",2.2,2,2.6,0.4472,0,0.5477
"298","departamento",2.2,1.8,2.8,0.4472,0.4472,0.4472
"299","sacar",2.2,3,2.8,0.4472,0,0.4472
"300","nada",2,1.6,2,0,0.5477,1
"301","cambio",2.6,2.8,2,0.5477,0.4472,0.7071
"302","gracia",2.8,2.2,2,0.4472,0.4472,1
"303","blanco",2.6,1.6,3,0.5477,0.8944,0
"304","personaje",2.8,2.6,2.4,0.4472,0.5477,0.5477
"305","semana",2,2.4,2.6,0.7071,0.5477,0.5477
"306","ocupar",1.8,2.8,2.2,0.4472,0.4472,0.8367
"307","bajo",2,1.8,3,0,0.4472,0
"308","antiguo",2.6,1.4,2.8,0.5477,0.5477,0.4472
"309","localidad",2,2,2,0,0,0.7071
"310","lleno",2.2,1.6,3,0.4472,0.5477,0
"311","ser",2.8,3,2.2,0.4472,0,1.0954
"312","ocurrir",2.4,2.8,1.4,0.5477,0.4472,0.5477
"313","principio",2.4,2.4,1.8,0.5477,0.5477,0.8367
"314","negro",2,1.6,2.8,0,0.5477,0.4472
"315","oscuro",2,1.6,2.8,0,0.5477,0.4472
"316","ejército",1.6,2.6,3,0.8944,0.5477,0
"317","densidad",2,1.8,1.8,0,0.4472,0.8367
"318","frente",2,1.8,2,0,0.4472,0.7071
"319","hermoso",3,2.2,2.6,0,0.8367,0.8944
"320","feliz",3,2.8,2.4,0,0.4472,0.8944
"321","poblacional",2,1.8,1.6,0,0.4472,0.5477
"322","situación",2,2,1.6,0,0.7071,0.5477
"323","detener",2,3,2.4,0,0,0.8944
"324","ayudar",2.6,3,2.6,0.5477,0,0.8944
"325","leer",2.8,2.6,2.8,0.4472,0.8944,0.4472
"326","anterior",2.2,1.8,1.6,0.4472,0.4472,0.8944
"327","largo",1.8,2,2.4,0.4472,0.7071,0.8944
"328","acompañar",2.8,3,2.4,0.4472,0,0.8944
"329","abandonar",1.2,2.8,2,0.4472,0.4472,1
"330","distinto",2.2,2.2,2.2,0.4472,0.4472,1.0954
"331","social",2.4,2,2,0.5477,0.7071,1
"332","título",1.8,2,2.6,0.4472,0,0.8944
"333","origen",2.2,1.8,1.8,0.4472,0.4472,0.8367
"334","desarrollar",2.2,3,2.4,0.4472,0,0.8944
"335","actual",2,1.8,2.2,0,0.4472,0.8367
"336","bello",2.8,1.6,2.6,0.4472,0.8944,0.8944
"337","mayoría",1.8,2,2.4,0.4472,0.7071,0.8944
"338","dedicar",2.4,2.8,2.6,0.5477,0.4472,0.8944
"339","área",2.2,1.4,2.6,0.4472,0.5477,0.8944
"340","chico",1.8,1.6,3,0.4472,0.5477,0
"341","importar",2.4,2.4,2.6,0.5477,0.8944,0.8944
"342","clase",2.4,2.2,2.6,0.5477,0.4472,0.8944
"343","político",1.8,2.4,1.6,0.4472,0.5477,0.8944
"344","internacional",2.2,1.8,2,0.4472,0.4472,1
"345","especial",2.6,1.8,2.4,0.5477,0.8367,0.8944
"346","sentimiento",2.4,2,2.2,0.5477,1,0.8367
"347","alto",2.2,1.8,2.6,0.4472,0.8367,0.8944
"348","nivel",2.2,2.2,2.4,0.4472,0.4472,0.8944
"349","árbol",2.6,1.6,3,0.5477,0.5477,0
"350","disco",2.4,2,3,0.5477,0.7071,0
"351","pensamiento",2.6,2.4,2,0.5477,0.8944,1
"352","cama",2.6,1.8,3,0.5477,0.8367,0
"353","extraño",2.2,1.8,2.2,0.4472,0.8367,0.8367
"354","reconocer",2.4,3,2.2,0.5477,0,0.8367
"355","sufrir",1.4,2.6,2.6,0.8944,0.8944,0.8944
"356","superficie",2.2,1.6,2.6,0.4472,0.5477,0.8944
"357","actividad",2.6,2.8,2.4,0.5477,0.4472,0.8944
"358","programa",2,2.6,2.2,0,0.5477,0.8367
"359","edificio",2,1.2,3,0,0.4472,0
"360","responder",2.4286,2.5714,2.2857,0.5345,0.5345,0.7559
"361","comer",2.4,3,2.6,0.5477,0,0.8944
"362","representar",2.4,2.8,2.4,0.5477,0.4472,0.8944
"363","iniciar",2.6,3,2.4,0.5477,0,0.8944
"364","establecer",2.1667,2.8333,1.5,0.4082,0.4082,0.8367
"365","estación",2.3333,1.5,2.6667,0.5164,0.5477,0.8165
"366","hecho",2.1667,2.1667,1.6667,0.4082,0.7528,0.8165
"367","mundial",2.3333,2.1667,2.5,0.5164,0.9832,0.8367
"368","suelo",2.5,2,3,0.5477,0.6325,0
"369","oficina",2.2,2,3,0.4472,0.7071,0
"370","ventana",2.8,1.6,3,0.4472,0.5477,0
"371","empresa",2,2.4,2.6,0,0.8944,0.8944
"372","éxito",2.8,2.6,2.8,0.4472,0.5477,0.4472
"373","poseer",2.6,2.6,2.8,0.5477,0.5477,0.4472
"374","ley",2,2.8,2.8,0,0.4472,0.4472
"375","compañía",3,3,3,0,0,0
"376","suceder",2.4,2.6,2.8,0.5477,0.8944,0.4472
"377","instante",2.4,2,2.8,0.5477,0,0.4472
"378","cubrir",2.4,3,2.6,0.5477,0,0.8944
"379","sociedad",2.6,2.6,2.8,0.5477,0.5477,0.4472
"380","reír",3,3,3,0,0,0
"381","traer",2,3,2.8,0,0,0.4472
"382","versión",2,2,1.8,0,0,0.8367
"383","lengua",2.2,2.8,2.8,0.4472,0.4472,0.4472
"384","uso",2,2.6,2.4,0.7071,0.5477,0.8944
"385","cantón",2.2,1.8,2.2,0.4472,0.4472,0.8367
