palabra,media_agrado,media_activacion,media_imaginabilidad,sd_agrado,sd_activacion,sd_imaginabilidad,tipo
pie,2,2.4,2.8,0,0.5477,0.4472,sustantivo
orden,2.1667,2.3333,2.5,0.7528,0.8165,0.8367,sustantivo
cara,2.4,1.8,2.2,0.5477,0.4472,0.8367,sustantivo
rostro,2.2,2,2.2,0.4472,0.7071,0.8367,sustantivo
señor,1.8,2.2,2.4,0.4472,0.8367,0.5477,sustantivo
música,3,2.6,2.2,0,0.8944,1.0954,sustantivo
raza,1.8,2.4,3,0.4472,0.5477,0,sustantivo
idea,2.8,3,2.4,0.4472,0,0.8944,sustantivo
viento,2.6,2.6,2.6,0.5477,0.8944,0.8944,sustantivo
iglesia,1.4,2,3,0.5477,1,0,sustantivo
través,2,2,1,0,0,0,sustantivo
problema,1.2,2.4,2.4,0.4472,0.8944,0.8944,sustantivo
álbum,2.2,2.2,2.6,0.4472,0.8367,0.8944,sustantivo
boca,2.4,2.4,3,0.5477,0.5477,0,sustantivo
mente,2.6,2.4,2,0.5477,0.5477,1,sustantivo
imagen,2.4,2,2.6,0.5477,0,0.8944,sustantivo
miedo,1,2.8,2.6,0,0.4472,0.8944,sustantivo
época,2,2,2,0,0,1,sustantivo
piel,2.6,2,3,0.5477,0,0,sustantivo
carrera,2.2,2.8,3,0.4472,0.4472,0,sustantivo
brazo,2.2,1.8,3,0.4472,0.4472,0,sustantivo
fuerte,2.6,2.8,2.2,0.5477,0.4472,1.0954,adjetivo
demografía,2,1.8333,1.5,0,0.4082,0.5477,sustantivo
club,2.6667,2.5,2.6667,0.5164,0.5477,0.8165,sustantivo
resto,2.1667,2,1.8333,0.4082,0,0.9832,sustantivo
temporada,2.3333,2.1667,1.6667,0.5164,0.4082,0.8165,sustantivo
servicio,2.6,2.4,1.6,0.5477,0.8944,0.8944,sustantivo
beso,3,3,3,0,0,0,sustantivo
presidente,1.8,2.8,3,0.4472,0.4472,0,sustantivo
sentido,2.4,2.4,1.6,0.5477,0.5477,0.8944,sustantivo
sonrisa,3,3,3,0,0,0,sustantivo
razón,2.6,2.6,1.8,0.5477,0.5477,1.0954,sustantivo
miembro,2.4,2.6,2.8,0.5477,0.5477,0.4472,sustantivo
movimiento,2.6,2.6,2.8,0.5477,0.8944,0.4472,sustantivo
relación,3,3,2.4,0,0,0.8944,sustantivo
frente,2,2,2.2,0,0,0.8367,sustantivo
escuela,2.8,3,3,0.4472,0,0,sustantivo
